Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2022/01/01,06,CA,06037,Los Angeles County,2558385,7480722,28119339,7864365,6805422,3430664,3890692,4062853,1345402,433207,187397,71032,28305,06-06037-20220101,0,1
County,2022/01/02,06,CA,06037,Los Angeles County,2476008,7563099,30962926,9019912,7542456,3769381,4251084,4276597,1377585,437578,186343,72854,29136,06-06037-20220102,1,1
County,2022/01/03,06,CA,06037,Los Angeles County,2466763,7572344,31491400,9304263,7665050,3749782,4275611,4385500,1411016,425896,173532,71041,29709,06-06037-20220103,1,1
County,2022/01/04,06,CA,06037,Los Angeles County,2619277,7419830,27203747,7652791,6490874,3269035,3795241,3962585,1340200,423437,171660,68981,28943,06-06037-20220104,1,1
County,2022/01/05,06,CA,06037,Los Angeles County,2620543,7418564,27014430,7599056,6432113,3266913,3801049,3929491,1305518,412117,171984,68037,28152,06-06037-20220105,1,1
County,2022/01/06,06,CA,06037,Los Angeles County,2476645,7562462,30673643,9046855,7463667,3704938,4164457,4249483,1360698,418822,168819,68512,27392,06-06037-20220106,1,1
County,2022/01/07,06,CA,06037,Los Angeles County,2481788,7557319,30409494,8987650,7421187,3659942,4097713,4200696,1362970,419642,166599,65833,27262,06-06037-20220107,1,1
County,2022/01/08,06,CA,06037,Los Angeles County,2590356,7448751,27734762,7942442,6681343,3363118,3816494,3924921,1303405,425256,182735,67696,27352,06-06037-20220108,1,1
County,2022/01/09,06,CA,06037,Los Angeles County,2689938,7349169,26293705,7586509,6340199,3143695,3600970,3696053,1225133,410356,192683,70699,27408,06-06037-20220109,2,1
County,2022/01/10,06,CA,06037,Los Angeles County,2488609,7550498,30943968,9096627,7478063,3758614,4328005,4265950,1347070,401495,171249,69301,27594,06-06037-20220110,2,1
County,2022/01/11,06,CA,06037,Los Angeles County,2275650,7763457,27964997,8110952,6850834,3373822,3862746,3941489,1245603,358527,138846,57558,24620,06-06037-20220111,2,1
County,2022/01/12,06,CA,06037,Los Angeles County,2602038,7437069,28191121,8263730,6709261,3366980,3841702,4011507,1323366,401025,177246,68329,27975,06-06037-20220112,2,1
County,2022/01/13,06,CA,06037,Los Angeles County,2538362,7500745,26375802,7225730,6223948,3228111,3915801,3929857,1264291,362039,145641,55538,24846,06-06037-20220113,2,1
County,2022/01/14,06,CA,06037,Los Angeles County,2525413,7513694,29333477,8333635,7207302,3627770,4161250,4123162,1273308,362776,157305,61714,25255,06-06037-20220114,2,1
County,2022/01/15,06,CA,06037,Los Angeles County,2621188,7417919,27009209,7733708,6579562,3270936,3696653,3719923,1262785,459507,196372,65188,24575,06-06037-20220115,2,1
County,2022/01/16,06,CA,06037,Los Angeles County,2596545,7442562,27843017,8216716,6635037,3296179,3829152,3888527,1282709,414674,179966,71594,28463,06-06037-20220116,3,1
